University,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_transformed,Accept_transformed,Enroll_transformed,Top10perc_transformed,F.Undergrad_transformed,P.Undergrad_transformed,Outstate_transformed,Books_transformed,Personal_transformed,PhD_transformed,Terminal_transformed,S.F.Ratio_transformed,perc.alumni_transformed,Expend_transformed,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_Encoded,Apps_transformed_scaled,Accept_transformed_scaled,Enroll_transformed_scaled,Top10perc_transformed_scaled,F.Undergrad_transformed_scaled,P.Undergrad_transformed_scaled,Outstate_transformed_scaled,Books_transformed_scaled,Personal_transformed_scaled,PhD_transformed_scaled,Terminal_transformed_scaled,S.F.Ratio_transformed_scaled,perc.alumni_transformed_scaled,Expend_transformed_scaled,Accept_Rate_scaled,Outstate_Tier_Encoded_scaled,Private_Encoded_scaled
Arizona State University Main campus,No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88.0,93,18.9,5,4602,48,6.810357250825293,6.798934897573202,4.671654906623113,4.914783971046612,4.071271908929298,14.346451293156315,59.26878452812914,10.265383834059623,10.28926887219915,3850.189112920918,54886.120254639376,8.215644031739009,2.8029031764133614,1.8273579938302282,0.8047466625029276,Low,0,0,1.8047436372714876,2.0426744573800373,1.9499665041338634,0.010498375683124296,1.9782047781512868,2.2980732899184684,-0.6950814148243284,1.036120392064417,1.1704906841578149,1.0347851307407439,0.9685124280279964,1.1989535360782697,-1.747408750963526,-1.8712514740636974,0.3945715575162776,-1.0977194109733543,-1.6310663255951814
Arkansas College (Lyon College),Yes,708,334,166,46,74,530,182,8644,3922,500,800,79.0,88,12.6,24,14579,54,5.2029807203087595,4.771914208831943,3.5413033708036714,6.517276073871263,3.4184665777029966,6.804119297184665,62.573943995983456,9.502670860800531,8.648479600106288,3103.2898290035896,47487.224979564795,6.05494407369219,7.487471891197417,1.8362623937321896,0.4717514124293785,Low,0,1,-0.7938331879173275,-1.3422502196382253,-1.151583032134714,1.1096298635196908,-1.478763269335996,-0.37974258814036077,-0.34166554621344736,-0.22842386689854197,-0.835123048894733,0.33287698488245776,0.5107083351693819,-0.328544393486175,0.2418255545223002,1.2444639652488378,-1.8705312225566062,-1.0977194109733543,0.6130958528832952
Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57.0,60,19.6,5,4739,48,5.737355305881059,5.804610451914921,4.239436536625783,3.4779670941379464,3.8174687500420217,9.783041973075147,44.90558782575826,9.270525807002555,9.01750885336023,1616.0326987995059,17408.082037358414,8.436867020058239,2.8029031764133614,1.8276601636597412,0.9971164936562861,Low,0,0,0.07006732803198891,0.38225067790630013,0.7640109473431553,-0.9749983196713342,0.6341756033642671,0.6778887181014667,-2.2309170342453672,-0.6133100630418952,-0.38404127330500104,-1.064791907235012,-1.3504282584260159,1.3553462158537377,-1.747408750963526,-1.7655200139458214,1.7031110614623,-1.0977194109733543,-1.6310663255951814
Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93.0,93,13.8,30,7100,88,5.856495689808271,5.794581488140009,3.996792677564345,4.818997178837589,3.6815567950719528,9.183428957298142,70.38313867181212,9.502670860800531,7.890855810096345,4299.868873409913,54886.120254639376,6.494286444209187,8.505142557374741,1.8313704255044547,0.7962529274004684,Medium,1,1,0.2626764863340956,0.36550329730225656,0.09822519423684477,-0.055200718403029835,-0.08555394406521388,0.46500320004206824,0.49336022072818697,-0.22842386689854197,-1.7612021643396472,1.4573774316188435,0.9685124280279964,-0.01795311549064537,0.673964674278998,-0.46727192976892323,0.3367954090891345,0.3584006965742063,0.6130958528832952
Auburn University-Main Campus,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85.0,91,16.7,18,6642,69,6.541780222113849,6.577549735934137,4.613437573482033,5.0076495594765635,4.0329568292589535,11.004852686166782,55.83285878504789,9.911870086910547,10.120960995298347,3592.2902607546,51847.00689353883,7.498611600723711,6.329097661694977,1.8308129855133946,0.8997085320614733,Low,0,0,1.3705466527209225,1.6729830669961077,1.790225099018143,0.07419384862799155,1.7753050777023098,1.1116781786087233,-1.0624799300196837,0.450010288926062,0.9647600671709042,0.7924213890142526,0.7804683371675396,0.6920504143711256,-0.25006129701322827,-0.6623243090150365,1.0405218967192282,-1.0977194109733543,-1.6310663255951814
Augsburg College,Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65.0,65,12.8,31,7836,58,5.1614635670733975,5.053051335848673,3.734060385518556,3.4779670941379464,3.71907651384366,9.283462143789318,70.17701651260464,9.67423499739097,8.932140965162741,2101.2563449237364,21470.19703315302,6.129263988156606,8.664190735529143,1.8321589305371524,0.7749244712990937,Medium,1,1,-0.8609521922059836,-0.8727789388809025,-0.622680818392808,-0.9749983196713342,0.11313387715837982,0.500518801219789,0.4713198796660493,0.05602185721487039,-0.48839044954759636,-0.6087967856553352,-1.0990862943084903,-0.27600423628062626,0.7415021812454939,-0.1913681820261212,0.19171482550959185,0.3584006965742063,0.6130958528832952
Augustana College IL,Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78.0,83,12.7,40,9220,71,5.783564153845409,5.77972741350932,4.0014766284440615,5.881850116998911,3.7073346304020376,4.377221246358051,73.12228071145017,9.67423499739097,8.69101906515015,3025.263672430051,40739.09727963728,6.092161014487607,9.990248962005056,1.8333706072319433,0.8823842469398616,Medium,1,1,0.1447711943378163,0.34069845734627535,0.11107739571446495,0.6737982758594397,0.0509540603992901,-1.241384072286713,0.7862526734532344,0.05602185721487039,-0.7831250643029304,0.2595509072328201,0.0931702615374012,-0.3022340305882601,1.304593615223782,0.23260646275412494,0.9226785149200266,0.3584006965742063,0.6130958528832952
Augustana College,Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66.0,70,10.4,30,6871,69,5.247366000390284,5.273572699671045,3.8074759493471153,4.61773086410158,3.631909825872327,7.660885745171172,68.2031027313402,9.911870086910547,9.05218978992931,2166.3773306690255,26071.58053472029,5.204502215977128,8.505142557374741,1.831098866282368,0.9526938239159002,Medium,1,1,-0.7220774057408268,-0.5045300056765754,-0.42123728447281134,-0.1932470423613438,-0.3484623150113997,-0.07555778171289308,0.260252165580397,0.450010288926062,-0.34164913688558746,-0.5475985071923998,-0.8143772774197001,-0.9297607595238646,0.673964674278998,-0.5622925117575066,1.400938845176983,0.3584006965742063,0.6130958528832952
Austin College,Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81.0,95,13.0,33,11361,71,5.381016344021545,5.333793541638213,3.792237022415062,6.276768658259247,3.5943188144659874,3.104966547551385,68.84206402518987,9.014694833976261,9.251767375413102,3262.3198521504246,58032.99277532507,6.203132952498875,8.97452607649717,1.8347776413118406,0.8417721518987342,Medium,1,1,-0.506010616755727,-0.40396713763201336,-0.46305107890896174,0.9446685054628217,-0.5475276704678739,-1.6930830740303442,0.3285753623492402,-1.0374664620381557,-0.0976960875429358,0.4823274812028567,1.1632240797157132,-0.22378287640524416,0.8732815923383459,0.7249381026897083,0.6464266183481573,0.3584006965742063,0.6130958528832952
Averett College,Yes,627,556,172,16,40,777,538,9925,4135,750,1350,59.0,67,22.4,11,6523,48,5.127743109348188,5.104847284735625,3.5574494258172917,4.043409132038042,3.5119606525103886,8.717285972790766,65.75676282988424,10.425882498985677,9.523523757948993,1731.3809243997205,23244.601297193447,9.292589974720725,4.6929731524538,1.830658351374996,0.886762360446571,Medium,1,1,-0.9154666126394648,-0.7862848115486885,-1.1072801866453614,-0.5871679226871698,-0.983660037517417,0.29950463991155823,-0.0013313826868790503,1.3022200552656582,0.23448449294285456,-0.9563919383202588,-0.9892956425607811,1.9602960316112636,-0.9448178904126144,-0.7164319386989533,0.9524593513533741,0.3584006965742063,0.6130958528832952
Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58.0,68,11.0,21,6136,65,5.102395314024826,5.014083248901862,3.6381283853360924,4.61773086410158,3.559929569305118,8.451747844621089,62.51144437982418,9.014694833976261,10.411117942427786,1673.2103108531687,24164.67508092954,5.442866458260426,6.929403951155235,1.830123847427526,0.8023255813953488,Low,0,1,-0.956445308201077,-0.9378518016568441,-0.8859067629336266,-0.1932470423613438,-0.7296378892600673,0.2052284642907345,-0.3483485387732943,-1.0374664620381557,1.3194325213375049,-1.0110585156983387,-0.9323663945762501,-0.7612501409097624,0.0048500806392386695,-0.9034588265119079,0.3781028615023034,-1.0977194109733543,0.6130958528832952
Baldwin-Wallace College,Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68.0,74,17.6,20,8086,85,5.722508574171623,5.663810150603363,4.109530421500235,5.434512156192033,3.768756326991732,10.670290916397505,68.21421252259567,11.110633242948902,9.01750885336023,2299.597751802593,30158.03455349912,7.796140014934541,6.734445050971812,1.8324012835674426,0.808284023668639,Medium,1,1,0.046065252465077554,0.14712805824667724,0.4075640913356484,0.3669741501362814,0.37621617511603594,0.992895974410058,0.26144011931298633,2.437506398173015,-0.38404127330500104,-0.42240291415622744,-0.5615293446508958,0.9023869004718892,-0.07793639470495539,-0.10656706274204769,0.4186334220888358,0.3584006965742063,0.6130958528832952
Barat College,Yes,261,192,111,15,36,453,266,9690,4300,500,500,57.0,77,9.7,35,9337,71,4.564585768567148,4.3964685511713455,3.3520014668581686,3.912896621040344,3.377786958852212,7.450796475513653,65.19398064813774,9.502670860800531,7.890855810096345,1616.0326987995059,33467.66720923342,4.919527835158992,9.275276881632609,1.8334601656707252,0.735632183908046,Medium,1,1,-1.8258989767466491,-1.9692074473337564,-1.671004834814265,-0.676685000581864,-1.6941845225401522,-0.15014749513298145,-0.06150885839875067,-0.22842386689854197,-1.7612021643396472,-1.064791907235012,-0.3567469657519844,-1.1312222234617375,1.0009910690058206,0.26394362342814137,-0.07555946559584333,0.3584006965742063,0.6130958528832952
Bard College,Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98.0,98,10.4,30,13894,79,5.792946049394598,5.364338939810456,3.777803433607071,6.742710203651236,3.5703759653073535,3.104966547551385,83.32074096459141,10.425882498985677,8.542878851701946,4774.357418802408,62958.47816557827,5.204502215977128,8.505142557374741,1.835991281223432,0.4387434554973822,High,2,1,0.15993850323377998,-0.35295933459534146,-0.5026551217713106,1.2642526226817787,-0.6743184004879884,-1.6930830740303442,1.8767591146439029,1.3022200552656582,-0.9642037997398595,1.903284105113934,1.4679867891663476,-0.9297607595238646,0.673964674278998,1.1495996915608824,-2.095058194021446,1.8145208041217669,0.6130958528832952
